Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
1,2937,1314,0,2,0.000681,0,0,5,230139,173,427,634,2161,142,456,9,4,165,117,0,0
1,1974,856,0,70,0.035461,0,0,4,181016,161,335,323,1659,33,147,0,4,131,151,57,6
1,4865,2418,0,40,0.008222,0,0,8.6,136250,781,760,493,3468,518,423,5,17,434,399,354,34
1,3703,1779,0,33,0.0089117,0,0,7.2,109861,672,572,353,2628,456,278,6,14,321,332,159,9
1,3517,1578,0,126,0.035826,0,0,15.1,102083,924,450,314,1905,955,209,5,27,416,340,258,72
1,1571,690,0,6,0.0038192,1,0,8.3,93875,590,224,144,720,628,80,1,4,138,126,173,104
1,4206,1755,0,167,0.0397052,1,1,18.9,43770,2129,629,509,1391,2084,251,16,52,412,439,361,214
1,3594,1567,0,153,0.042571,1,1,7.7,70357,870,572,442,1281,1490,438,7,21,357,367,184,84
1,2302,1019,0,2,0.0008688,0,1,12,74044,528,422,219,812,1038,129,5,10,308,307,101,30
1,5678,2354,0,23,0.0040507,1,1,29.7,51960,2502,1159,456,1487,2923,424,12,45,787,806,662,185
1,4156,2007,0,150,0.0360924,0,1,15.2,71726,1318,490,256,2152,1009,454,10,35,496,522,438,116
1,2416,1216,0,46,0.0190397,0,0,7.9,116667,480,330,200,1510,429,235,4,10,228,226,232,91
1,3528,1632,0,580,0.1643991,0,1,34.4,42212,1953,380,720,1060,1292,674,17,27,458,488,663,190
1,4314,1396,0,508,0.1177561,0,1,41.7,30200,2876,894,341,792,2138,429,6,53,896,911,465,377
1,2630,940,0,415,0.1577947,0,1,22.9,49148,1011,462,185,683,1413,185,17,10,322,406,288,116
1,2163,765,0,57,0.0263523,0,1,40.2,31779,1269,528,112,446,1027,260,3,48,379,449,240,141
1,2667,1033,0,107,0.04012,0,1,22.8,52050,1071,536,119,889,908,271,9,38,552,683,180,116
1,1703,637,0,1,0.0005872,1,1,31.8,28309,1076,456,116,301,993,53,7,11,338,329,221,143
1,2385,849,0,15,0.0062893,1,1,26.6,39583,1379,540,208,553,896,283,2,15,636,720,221,149
1,2351,1028,0,22,0.0093577,0,1,29.5,30833,1724,482,388,366,1371,329,6,12,267,220,399,215
1,1784,673,0,2,0.0011211,1,1,49.7,19891,1352,570,112,156,1201,297,0,10,120,81,315,270
1,1151,618,0,3,0.0026064,0,1,34.9,19877,670,128,295,145,346,581,4,4,71,66,286,42
1,1569,604,0,5,0.0031867,0,1,25.3,47847,796,398,103,292,894,163,0,8,212,243,246,169
1,3345,2025,0,311,0.0929746,0,1,42.2,38571,1915,370,559,891,1395,714,14,26,305,276,1048,154
1,1434,921,0,80,0.055788,0,1,26.5,30833,719,83,336,395,295,623,4,5,112,137,534,69
1,2788,1500,0,92,0.0329986,0,1,30.2,29966,1536,204,1231,130,126,2472,1,4,55,36,787,69
1,2238,701,0,985,0.4401251,0,1,27.6,76563,516,122,130,560,687,756,5,5,225,321,240,24
1,4054,2054,0,47,0.0115935,0,1,21.7,66574,1307,451,518,1143,471,2194,5,10,231,242,509,67
1,4146,2713,0,31,0.0074771,0,1,15.9,41845,1992,298,774,1521,844,1352,13,17,399,387,1081,100
1,4374,2547,0,33,0.0075446,0,1,25.4,34146,2191,453,796,1560,1252,1044,12,23,483,440,671,118
1,1991,1171,0,18,0.0090407,0,1,19.8,75292,575,187,126,978,540,217,3,13,240,242,204,71
1,4482,2542,0,163,0.0363677,0,1,9.5,61991,1003,503,384,1707,1724,559,7,17,468,436,224,130
1,2587,1686,0,54,0.0208736,0,1,10.3,73750,460,183,423,1396,560,360,1,15,255,236,522,43
1,1724,1093,0,0,0,0,0,6.8,98750,295,132,215,1040,318,173,5,13,175,149,180,42
1,3461,1858,0,16,0.0046229,0,0,5.1,124063,381,423,341,2315,339,470,3,12,322,290,92,39
1,3584,2087,0,35,0.0097656,0,1,8.6,69375,953,341,394,2137,595,485,8,24,335,323,191,43
1,2819,1702,0,0,0,0,0,10.8,103846,539,253,242,1796,416,329,5,10,263,304,214,17
1,2929,1644,0,6,0.0020485,0,0,8.4,113750,533,325,400,2140,185,342,5,5,252,274,303,30
1,2283,1544,0,127,0.0556286,0,0,14,112841,455,101,706,1621,186,306,4,7,159,149,279,0
1,3483,1367,0,158,0.0453632,0,0,4.1,175446,232,786,549,2656,178,405,2,15,227,187,50,6
1,3218,1337,0,3,0.0009323,0,0,2.4,193839,267,664,543,2467,144,379,0,10,218,170,37,0
1,5314,2279,0,0,0,0,0,4.5,166071,389,1074,634,3788,261,832,7,14,412,355,37,9
1,1677,688,0,0,0,0,0,2.7,177500,59,365,325,1278,73,198,1,1,126,97,18,0
1,5784,2443,0,6,0.0010373,0,0,2.9,148205,540,1220,914,4368,370,559,6,22,459,347,13,41
1,4353,1800,0,0,0,0,0,3.3,162622,247,851,752,3326,261,450,7,6,303,239,42,10
1,1954,810,0,1,0.0005118,0,0,2.2,153839,97,400,302,1473,159,186,0,6,130,117,23,4
1,2684,1216,0,2,0.0007452,0,0,11.4,78884,1007,525,347,1340,549,460,10,30,295,308,266,19
1,4129,1885,0,0,0,0,0,6.2,96483,1018,765,555,2419,481,827,5,15,382,399,170,29
1,3136,1458,0,2,0.0006378,1,0,4.2,151250,582,626,400,2185,307,381,1,10,252,229,109,37
1,4197,1579,0,0,0,0,0,1.5,199917,100,1025,625,2983,508,392,7,6,301,226,26,28
1,4597,2398,0,12,0.0026104,0,1,6.3,67750,1003,546,539,1940,724,1431,16,20,466,434,169,85
1,2603,1477,0,1,0.0003842,0,1,8.9,63056,581,263,229,1205,625,384,4,19,366,369,271,80
1,2530,1406,0,0,0,0,1,31.9,36179,1430,274,444,711,507,961,5,16,330,370,554,81
