GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC29,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC33,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC44,HC01_EST_VC45,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC52
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Less than high school graduate,Total; Estimate; High school graduate (includes equivalency),Total; Estimate; Some college or associate's degree,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree",Total; Estimate; Associate's degree,Total; Estimate; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; Population 25 to 34 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 35 to 44 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 45 to 64 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 65 years and over,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Educational attainment
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",11,0.0,100.0,0.0,0.0,2276,0.0,0.0,3.8,9.3,2.8,35.5,48.7,100.0,84.2,185,100.0,92.4,292,100.0,88.0,1170,100.0,82.1,629,100.0,83.8,-,0.0,0.0,3.9,93446,-,6985,54773,85167,138472,1.8
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",86,0.0,16.3,11.6,72.1,1570,0.8,0.8,7.8,6.8,2.8,34.2,46.8,98.4,81.0,273,100.0,87.2,395,96.7,93.9,500,100.0,75.2,402,97.0,71.4,52.0,8.1,0.0,2.3,53047,9904,33417,43780,56346,72672,0.6
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",354,3.1,9.0,54.2,33.6,3723,5.6,3.7,8.7,10.9,3.7,31.9,35.6,90.8,67.5,621,100.0,88.7,1067,95.7,73.3,1423,93.3,69.4,612,67.0,31.4,24.1,18.5,22.5,4.7,51100,4929,22375,29882,56435,66583,0.3
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",229,0.0,0.0,37.6,62.4,3134,1.7,1.4,4.1,11.4,1.3,42.0,38.0,96.9,80.1,1016,98.0,82.6,960,95.3,82.0,630,100.0,84.9,528,93.8,65.9,0.0,0.0,5.3,7.5,50114,21793,75672,19936,41867,55750,0.7
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",289,0.0,25.3,29.8,45.0,2768,2.0,1.7,13.2,20.4,7.4,33.9,21.3,96.3,55.2,1163,100.0,63.5,510,92.9,58.2,792,97.3,54.3,303,84.8,20.8,10.7,21.3,10.8,10.5,36863,40357,26681,20787,41225,65625,2.3
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",120,0.0,12.5,55.8,31.7,1209,4.7,3.9,12.1,14.4,4.1,45.7,15.1,91.4,60.8,382,100.0,70.9,323,97.5,77.4,364,90.7,50.0,140,55.7,22.9,0.0,15.1,20.1,8.6,31111,12019,23926,28250,31458,64107,3.9
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",463,5.2,34.8,33.9,26.1,2787,3.4,10.3,22.6,21.5,7.1,21.2,14.0,86.4,35.2,758,93.3,57.8,371,87.6,43.1,1207,84.5,28.9,451,78.7,7.5,7.6,8.7,22.1,10.0,30374,30457,20457,43359,30362,49286,4.0
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",224,9.8,24.6,65.6,0.0,2051,9.6,6.9,23.6,13.6,2.1,31.2,13.0,83.5,44.2,562,90.7,53.7,447,87.0,50.8,701,84.7,48.4,341,64.2,11.1,30.1,11.6,20.2,6.5,34872,27663,25395,35083,57188,61136,8.2
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",328,6.7,13.7,55.5,24.1,1699,6.3,7.8,10.5,23.4,11.4,32.4,8.2,85.9,40.6,507,100.0,46.4,423,79.2,41.6,511,86.7,52.3,258,67.4,4.7,19.2,11.8,9.5,8.6,35710,37219,53638,30120,36513,55682,8.7
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",493,45.0,2.6,33.7,18.7,4088,10.9,8.3,17.2,28.0,6.1,20.7,8.8,80.8,29.5,1229,94.5,49.7,826,95.5,36.9,1410,75.1,17.3,623,47.5,7.2,24.1,39.6,21.3,12.6,35595,25176,18622,38050,41284,42016,4.2
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",398,15.3,19.3,57.5,7.8,2920,5.5,3.9,12.4,20.8,6.1,33.7,17.5,90.6,51.3,982,94.9,67.7,745,98.4,49.8,956,82.1,40.7,237,82.3,30.4,29.1,4.4,27.8,14.8,34219,15057,21789,30849,40982,45543,6.1
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",27,0.0,40.7,0.0,59.3,2109,1.8,2.3,11.2,13.3,5.8,34.8,30.9,95.9,65.6,567,100.0,69.1,698,98.1,76.8,597,91.1,65.7,247,91.5,25.9,55.2,8.9,15.7,2.0,47284,22589,29009,41378,42875,70040,1.1
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",367,8.2,29.4,45.8,16.6,2651,10.4,9.4,29.7,10.4,6.8,25.7,7.7,80.3,33.4,844,87.8,48.0,527,82.5,39.5,854,78.3,20.6,426,66.4,22.5,41.0,40.7,40.2,20.7,29542,13523,16179,29550,41875,92917,6.3
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",349,27.8,5.2,58.2,8.9,2214,16.3,12.1,30.4,22.2,7.4,9.1,2.7,71.7,11.8,716,71.2,10.8,524,78.1,19.5,749,74.1,9.2,225,50.2,5.8,21.1,37.6,24.3,14.2,22310,17833,14202,31016,48667,50288,1.3
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",59,23.7,0.0,76.3,0.0,1193,7.3,6.9,22.4,31.0,10.1,17.4,4.9,85.8,22.3,265,76.6,18.5,299,100.0,46.2,436,83.0,12.4,193,82.9,13.0,38.5,30.7,34.2,0.0,32353,13636,16250,23150,78875,44013,2.4
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",230,17.8,25.7,37.8,18.7,1117,14.8,14.4,14.4,20.1,12.9,11.5,11.9,70.8,23.5,182,100.0,19.2,347,82.4,16.4,455,58.9,27.3,133,41.4,34.6,45.1,5.6,14.9,3.4,35129,16982,37692,31429,40139,65284,11.0
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",387,16.0,34.9,35.7,13.4,1353,14.0,13.2,15.6,30.6,2.4,16.5,7.7,72.8,24.2,339,65.2,21.8,340,80.6,59.1,581,75.2,7.6,93,57.0,8.6,37.8,15.6,16.1,7.0,20688,11282,18098,25313,54813,54100,16.4
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",325,35.4,13.5,33.2,17.8,759,5.3,15.2,22.4,31.0,7.5,18.7,0.0,79.6,18.7,267,80.5,23.6,131,66.4,19.1,233,95.7,12.0,128,61.7,20.3,27.7,32.4,20.9,0.0,22266,7625,18788,21563,34038,-,10.3
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",267,25.8,32.6,34.8,6.7,1479,15.8,10.5,15.4,29.9,4.7,20.8,2.8,73.7,23.7,530,94.7,39.8,412,70.4,23.5,334,74.3,12.6,203,24.6,0.0,44.7,4.8,26.2,12.0,31489,17841,30337,32060,42056,26419,6.7
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",146,13.7,22.6,63.7,0.0,1560,8.3,12.6,15.2,27.8,15.1,17.2,3.7,79.0,20.9,345,84.6,17.4,219,100.0,47.0,558,77.2,18.8,438,66.4,13.2,19.0,35.9,21.5,25.8,22070,15614,38783,21191,36011,16464,13.4
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",283,14.5,48.1,29.3,8.1,1129,8.8,10.7,34.6,19.8,10.0,7.3,8.9,80.5,16.1,274,90.5,27.4,356,80.9,11.5,391,86.2,13.6,108,33.3,12.0,35.5,41.9,22.6,0.0,26400,48125,19135,19196,45223,52188,10.4
