GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC24,Total; Estimate; Population 20 to 64 years
HC02_EST_VC24,In labor force; Estimate; Population 20 to 64 years
HC03_EST_VC24,Employed; Estimate; Population 20 to 64 years
HC04_EST_VC24,Unemployment rate; Estimate; Population 20 to 64 years
HC01_EST_VC38,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years
HC02_EST_VC38,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years
HC03_EST_VC38,Employed; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years
HC04_EST_VC38,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years
HC01_EST_VC39,Total; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate
HC02_EST_VC39,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate
HC03_EST_VC39,Employed; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate
HC04_EST_VC39,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate
HC01_EST_VC40,Total; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC02_EST_VC40,In labor force; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC03_EST_VC40,Employed; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC04_EST_VC40,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC01_EST_VC41,Total; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree
HC02_EST_VC41,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree
HC03_EST_VC41,Employed; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree
HC04_EST_VC41,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree
HC01_EST_VC42,Total; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher
HC02_EST_VC42,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher
HC03_EST_VC42,Employed; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher
HC04_EST_VC42,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher
