GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC04_EST_VC24,HC01_EST_VC38,HC02_EST_VC38,HC03_EST_VC38,HC04_EST_VC38,HC01_EST_VC39,HC02_EST_VC39,HC03_EST_VC39,HC04_EST_VC39,HC01_EST_VC40,HC02_EST_VC40,HC03_EST_VC40,HC04_EST_VC40,HC01_EST_VC41,HC02_EST_VC41,HC03_EST_VC41,HC04_EST_VC41,HC01_EST_VC42,HC02_EST_VC42,HC03_EST_VC42,HC04_EST_VC42
Id,Id2,Geography,Total; Estimate; Population 20 to 64 years,In labor force; Estimate; Population 20 to 64 years,Employed; Estimate; Population 20 to 64 years,Unemployment rate; Estimate; Population 20 to 64 years,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years,Employed; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Population 25 to 64 years,Total; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate,Employed; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Less than high school graduate,Total; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),In labor force; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Employed; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Total; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree,Employed; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree,Total; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,In labor force; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Employed; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",1647,82.3,79.2,3.8,1647,82.3,79.2,3.8,0,-,-,-,51,86.3,86.3,0.0,207,86.5,86.5,0.0,1389,81.6,77.8,4.6
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",1244,85.7,84.2,1.8,1168,84.8,83.1,1.9,13,100.0,100.0,0.0,75,64.0,64.0,0.0,95,66.3,66.3,0.0,985,87.9,86.0,2.2
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",3359,80.9,76.1,5.5,3111,81.1,77.9,3.4,142,42.3,42.3,0.0,274,69.3,59.1,14.7,375,72.8,67.2,7.7,2320,86.2,84.1,1.9
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",2835,86.1,82.3,4.4,2606,89.8,85.6,4.6,65,84.6,70.8,16.4,98,100.0,87.8,12.2,282,88.7,88.7,0.0,2161,89.6,85.6,4.5
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",2715,85.9,78.1,8.0,2465,85.2,77.7,7.6,57,63.2,63.2,0.0,288,76.4,70.1,8.2,655,82.7,66.0,16.1,1465,88.9,85.0,4.4
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",1181,74.9,69.8,6.8,1069,77.8,72.2,7.2,42,19.0,19.0,0.0,113,77.0,77.0,0.0,211,78.7,74.9,4.8,703,81.2,73.8,9.1
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",2749,71.6,64.7,9.3,2336,75.6,68.8,8.7,284,58.5,54.9,6.0,468,54.1,43.6,19.4,637,79.1,67.3,13.5,947,89.1,86.3,3.2
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1883,84.0,74.8,10.9,1710,85.5,81.5,4.7,217,71.0,71.0,0.0,336,74.7,64.0,14.3,289,81.0,81.0,0.0,868,94.8,91.1,3.9
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1723,83.5,78.6,5.8,1441,84.5,78.8,6.8,156,45.5,45.5,0.0,86,84.9,84.9,0.0,521,91.2,85.6,6.1,678,88.3,80.4,9.0
