GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08
Id,Id2,Geography,Number; OCCUPANCY STATUS - Total housing units,Percent; OCCUPANCY STATUS - Total housing units,Number; OCCUPANCY STATUS - Total housing units - Occupied housing units,Percent; OCCUPANCY STATUS - Total housing units - Occupied housing units,Number; TENURE - Occupied housing units,Percent; TENURE - Occupied housing units,Number; TENURE - Occupied housing units - Owner occupied,Percent; TENURE - Occupied housing units - Owner occupied,Number; TENURE - Occupied housing units - Owner occupied - Owned with a mortgage or loan,Percent; TENURE - Occupied housing units - Owner occupied - Owned with a mortgage or loan,Number; TENURE - Occupied housing units - Owner occupied - Owned free and clear,Percent; TENURE - Occupied housing units - Owner occupied - Owned free and clear,Number; TENURE - Occupied housing units - Renter occupied,Percent; TENURE - Occupied housing units - Renter occupied
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",1396,100.0,1314,94.1,1314,100.0,1118,85.1,806,61.3,312,23.7,196,14.9
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",915,100.0,856,93.6,856,100.0,508,59.3,375,43.8,133,15.5,348,40.7
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",2591,100.0,2418,93.3,2418,100.0,1037,42.9,786,32.5,251,10.4,1381,57.1
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",1903,100.0,1779,93.5,1779,100.0,745,41.9,570,32.0,175,9.8,1034,58.1
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",1684,100.0,1578,93.7,1578,100.0,608,38.5,498,31.6,110,7.0,970,61.5
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",757,100.0,690,91.1,690,100.0,268,38.8,213,30.9,55,8.0,422,61.2
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",1929,100.0,1755,91.0,1755,100.0,699,39.8,589,33.6,110,6.3,1056,60.2
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1733,100.0,1567,90.4,1567,100.0,529,33.8,428,27.3,101,6.4,1038,66.2
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1153,100.0,1019,88.4,1019,100.0,372,36.5,302,29.6,70,6.9,647,63.5
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",2658,100.0,2354,88.6,2354,100.0,719,30.5,588,25.0,131,5.6,1635,69.5
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",2147,100.0,2007,93.5,2007,100.0,453,22.6,385,19.2,68,3.4,1554,77.4
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",1296,100.0,1216,93.8,1216,100.0,470,38.7,395,32.5,75,6.2,746,61.3
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",1839,100.0,1632,88.7,1632,100.0,140,8.6,128,7.8,12,0.7,1492,91.4
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",1764,100.0,1396,79.1,1396,100.0,328,23.5,268,19.2,60,4.3,1068,76.5
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",1244,100.0,940,75.6,940,100.0,343,36.5,304,32.3,39,4.1,597,63.5
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",919,100.0,765,83.2,765,100.0,144,18.8,116,15.2,28,3.7,621,81.2
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",1310,100.0,1033,78.9,1033,100.0,461,44.6,407,39.4,54,5.2,572,55.4
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",800,100.0,637,79.6,637,100.0,140,22.0,106,16.6,34,5.3,497,78.0
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",988,100.0,849,85.9,849,100.0,285,33.6,227,26.7,58,6.8,564,66.4
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",1168,100.0,1028,88.0,1028,100.0,201,19.6,156,15.2,45,4.4,827,80.4
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",747,100.0,673,90.1,673,100.0,99,14.7,93,13.8,6,0.9,574,85.3
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",656,100.0,618,94.2,618,100.0,104,16.8,96,15.5,8,1.3,514,83.2
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",731,100.0,604,82.6,604,100.0,113,18.7,94,15.6,19,3.1,491,81.3
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",2317,100.0,2025,87.4,2025,100.0,103,5.1,91,4.5,12,0.6,1922,94.9
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",959,100.0,921,96.0,921,100.0,6,0.7,6,0.7,0,0.0,915,99.3
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",1732,100.0,1500,86.6,1500,100.0,411,27.4,194,12.9,217,14.5,1089,72.6
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",751,100.0,701,93.3,701,100.0,243,34.7,212,30.2,31,4.4,458,65.3
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",2236,100.0,2054,91.9,2054,100.0,505,24.6,430,20.9,75,3.7,1549,75.4
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",3071,100.0,2713,88.3,2713,100.0,354,13.0,252,9.3,102,3.8,2359,87.0
1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California",2745,100.0,2547,92.8,2547,100.0,308,12.1,277,10.9,31,1.2,2239,87.9
1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California",1296,100.0,1171,90.4,1171,100.0,304,26.0,263,22.5,41,3.5,867,74.0
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",2732,100.0,2542,93.0,2542,100.0,455,17.9,396,15.6,59,2.3,2087,82.1
1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California",1915,100.0,1686,88.0,1686,100.0,222,13.2,170,10.1,52,3.1,1464,86.8
1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California",1211,100.0,1093,90.3,1093,100.0,212,19.4,174,15.9,38,3.5,881,80.6
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",1975,100.0,1858,94.1,1858,100.0,693,37.3,547,29.4,146,7.9,1165,62.7
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",2265,100.0,2087,92.1,2087,100.0,721,34.5,592,28.4,129,6.2,1366,65.5
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",1831,100.0,1702,93.0,1702,100.0,476,28.0,395,23.2,81,4.8,1226,72.0
1400000US06001404101,06001404101,"Census Tract 4041.01, Alameda County, California",1819,100.0,1644,90.4,1644,100.0,607,36.9,473,28.8,134,8.2,1037,63.1
1400000US06001404102,06001404102,"Census Tract 4041.02, Alameda County, California",1706,100.0,1544,90.5,1544,100.0,222,14.4,154,10.0,68,4.4,1322,85.6
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",1420,100.0,1367,96.3,1367,100.0,1127,82.4,834,61.0,293,21.4,240,17.6
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",1395,100.0,1337,95.8,1337,100.0,1081,80.9,788,58.9,293,21.9,256,19.1
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",2391,100.0,2279,95.3,2279,100.0,1873,82.2,1517,66.6,356,15.6,406,17.8
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",710,100.0,688,96.9,688,100.0,612,89.0,466,67.7,146,21.2,76,11.0
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",2548,100.0,2443,95.9,2443,100.0,2062,84.4,1607,65.8,455,18.6,381,15.6
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",1867,100.0,1800,96.4,1800,100.0,1642,91.2,1309,72.7,333,18.5,158,8.8
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",825,100.0,810,98.2,810,100.0,713,88.0,561,69.3,152,18.8,97,12.0
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",1288,100.0,1216,94.4,1216,100.0,598,49.2,464,38.2,134,11.0,618,50.8
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",2056,100.0,1885,91.7,1885,100.0,1061,56.3,846,44.9,215,11.4,824,43.7
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",1606,100.0,1458,90.8,1458,100.0,907,62.2,751,51.5,156,10.7,551,37.8
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",1627,100.0,1579,97.0,1579,100.0,1426,90.3,1120,70.9,306,19.4,153,9.7
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",2597,100.0,2398,92.3,2398,100.0,671,28.0,458,19.1,213,8.9,1727,72.0
1400000US06001405301,06001405301,"Census Tract 4053.01, Alameda County, California",1656,100.0,1477,89.2,1477,100.0,169,11.4,127,8.6,42,2.8,1308,88.6
1400000US06001405302,06001405302,"Census Tract 4053.02, Alameda County, California",1561,100.0,1406,90.1,1406,100.0,76,5.4,46,3.3,30,2.1,1330,94.6
1400000US06001405401,06001405401,"Census Tract 4054.01, Alameda County, California",1748,100.0,1570,89.8,1570,100.0,201,12.8,121,7.7,80,5.1,1369,87.2
1400000US06001405402,06001405402,"Census Tract 4054.02, Alameda County, California",1251,100.0,1098,87.8,1098,100.0,145,13.2,102,9.3,43,3.9,953,86.8
1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California",1642,100.0,1485,90.4,1485,100.0,357,24.0,270,18.2,87,5.9,1128,76.0
1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California",1511,100.0,1353,89.5,1353,100.0,350,25.9,257,19.0,93,6.9,1003,74.1
1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California",1439,100.0,1279,88.9,1279,100.0,394,30.8,289,22.6,105,8.2,885,69.2
1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California",1382,100.0,1223,88.5,1223,100.0,476,38.9,342,28.0,134,11.0,747,61.1
1400000US06001405901,06001405901,"Census Tract 4059.01, Alameda County, California",1192,100.0,1064,89.3,1064,100.0,277,26.0,197,18.5,80,7.5,787,74.0
1400000US06001405902,06001405902,"Census Tract 4059.02, Alameda County, California",1001,100.0,891,89.0,891,100.0,282,31.6,210,23.6,72,8.1,609,68.4
1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California",1669,100.0,1519,91.0,1519,100.0,210,13.8,117,7.7,93,6.1,1309,86.2
1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California",1620,100.0,1462,90.2,1462,100.0,462,31.6,370,25.3,92,6.3,1000,68.4
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",1520,100.0,1300,85.5,1300,100.0,285,21.9,222,17.1,63,4.8,1015,78.1
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",1406,100.0,1294,92.0,1294,100.0,179,13.8,118,9.1,61,4.7,1115,86.2
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",1323,100.0,1211,91.5,1211,100.0,457,37.7,364,30.1,93,7.7,754,62.3
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",789,100.0,710,90.0,710,100.0,332,46.8,258,36.3,74,10.4,378,53.2
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",2015,100.0,1854,92.0,1854,100.0,586,31.6,460,24.8,126,6.8,1268,68.4
1400000US06001406601,06001406601,"Census Tract 4066.01, Alameda County, California",1805,100.0,1680,93.1,1680,100.0,707,42.1,557,33.2,150,8.9,973,57.9
1400000US06001406602,06001406602,"Census Tract 4066.02, Alameda County, California",964,100.0,881,91.4,881,100.0,262,29.7,214,24.3,48,5.4,619,70.3
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",2335,100.0,2218,95.0,2218,100.0,1500,67.6,1187,53.5,313,14.1,718,32.4
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",1451,100.0,1370,94.4,1370,100.0,931,68.0,742,54.2,189,13.8,439,32.0
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",1561,100.0,1488,95.3,1488,100.0,859,57.7,675,45.4,184,12.4,629,42.3
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",2233,100.0,2005,89.8,2005,100.0,817,40.7,649,32.4,168,8.4,1188,59.3
1400000US06001407101,06001407101,"Census Tract 4071.01, Alameda County, California",1096,100.0,1002,91.4,1002,100.0,303,30.2,231,23.1,72,7.2,699,69.8
1400000US06001407102,06001407102,"Census Tract 4071.02, Alameda County, California",1375,100.0,1263,91.9,1263,100.0,661,52.3,530,42.0,131,10.4,602,47.7
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",2008,100.0,1851,92.2,1851,100.0,464,25.1,338,18.3,126,6.8,1387,74.9
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",811,100.0,738,91.0,738,100.0,221,29.9,178,24.1,43,5.8,517,70.1
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",1186,100.0,1081,91.1,1081,100.0,326,30.2,266,24.6,60,5.6,755,69.8
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",1386,100.0,1196,86.3,1196,100.0,320,26.8,264,22.1,56,4.7,876,73.2
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",2251,100.0,2022,89.8,2022,100.0,968,47.9,824,40.8,144,7.1,1054,52.1
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",1826,100.0,1714,93.9,1714,100.0,1275,74.4,1108,64.6,167,9.7,439,25.6
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",783,100.0,715,91.3,715,100.0,483,67.6,405,56.6,78,10.9,232,32.4
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",1198,100.0,1105,92.2,1105,100.0,800,72.4,645,58.4,155,14.0,305,27.6
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",1058,100.0,996,94.1,996,100.0,844,84.7,653,65.6,191,19.2,152,15.3
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",2714,100.0,2543,93.7,2543,100.0,2046,80.5,1661,65.3,385,15.1,497,19.5
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",1819,100.0,1638,90.0,1638,100.0,792,48.4,686,41.9,106,6.5,846,51.6
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",1826,100.0,1653,90.5,1653,100.0,1105,66.8,954,57.7,151,9.1,548,33.2
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",1275,100.0,1080,84.7,1080,100.0,469,43.4,393,36.4,76,7.0,611,56.6
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",1666,100.0,1476,88.6,1476,100.0,684,46.3,551,37.3,133,9.0,792,53.7
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",1897,100.0,1702,89.7,1702,100.0,733,43.1,597,35.1,136,8.0,969,56.9
1400000US06001408700,06001408700,"Census Tract 4087, Alameda County, California",2512,100.0,2259,89.9,2259,100.0,964,42.7,771,34.1,193,8.5,1295,57.3
1400000US06001408800,06001408800,"Census Tract 4088, Alameda County, California",1937,100.0,1691,87.3,1691,100.0,439,26.0,353,20.9,86,5.1,1252,74.0
1400000US06001408900,06001408900,"Census Tract 4089, Alameda County, California",1074,100.0,960,89.4,960,100.0,268,27.9,222,23.1,46,4.8,692,72.1
1400000US06001409000,06001409000,"Census Tract 4090, Alameda County, California",1071,100.0,984,91.9,984,100.0,567,57.6,437,44.4,130,13.2,417,42.4
1400000US06001409100,06001409100,"Census Tract 4091, Alameda County, California",664,100.0,601,90.5,601,100.0,378,62.9,311,51.7,67,11.1,223,37.1
1400000US06001409200,06001409200,"Census Tract 4092, Alameda County, California",972,100.0,838,86.2,838,100.0,476,56.8,379,45.2,97,11.6,362,43.2
1400000US06001409300,06001409300,"Census Tract 4093, Alameda County, California",1614,100.0,1463,90.6,1463,100.0,621,42.4,479,32.7,142,9.7,842,57.6
1400000US06001409400,06001409400,"Census Tract 4094, Alameda County, California",1260,100.0,1094,86.8,1094,100.0,453,41.4,373,34.1,80,7.3,641,58.6
1400000US06001409500,06001409500,"Census Tract 4095, Alameda County, California",1007,100.0,802,79.6,802,100.0,320,39.9,256,31.9,64,8.0,482,60.1
1400000US06001409600,06001409600,"Census Tract 4096, Alameda County, California",1561,100.0,1402,89.8,1402,100.0,503,35.9,411,29.3,92,6.6,899,64.1
1400000US06001409700,06001409700,"Census Tract 4097, Alameda County, California",1697,100.0,1437,84.7,1437,100.0,514,35.8,433,30.1,81,5.6,923,64.2
1400000US06001409800,06001409800,"Census Tract 4098, Alameda County, California",1289,100.0,1121,87.0,1121,100.0,712,63.5,602,53.7,110,9.8,409,36.5
1400000US06001409900,06001409900,"Census Tract 4099, Alameda County, California",1415,100.0,1373,97.0,1373,100.0,1191,86.7,996,72.5,195,14.2,182,13.3
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California",1179,100.0,1137,96.4,1137,100.0,991,87.2,771,67.8,220,19.3,146,12.8
1400000US06001410100,06001410100,"Census Tract 4101, Alameda County, California",1003,100.0,899,89.6,899,100.0,555,61.7,489,54.4,66,7.3,344,38.3
1400000US06001410200,06001410200,"Census Tract 4102, Alameda County, California",1179,100.0,1027,87.1,1027,100.0,482,46.9,413,40.2,69,6.7,545,53.1
1400000US06001410300,06001410300,"Census Tract 4103, Alameda County, California",1044,100.0,892,85.4,892,100.0,364,40.8,307,34.4,57,6.4,528,59.2
1400000US06001410400,06001410400,"Census Tract 4104, Alameda County, California",1352,100.0,1235,91.3,1235,100.0,773,62.6,663,53.7,110,8.9,462,37.4
1400000US06001410500,06001410500,"Census Tract 4105, Alameda County, California",948,100.0,848,89.5,848,100.0,113,13.3,89,10.5,24,2.8,735,86.7
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California",926,100.0,888,95.9,888,100.0,647,72.9,463,52.1,184,20.7,241,27.1
1400000US06001420200,06001420200,"Census Tract 4202, Alameda County, California",1307,100.0,1217,93.1,1217,100.0,471,38.7,355,29.2,116,9.5,746,61.3
1400000US06001420300,06001420300,"Census Tract 4203, Alameda County, California",2140,100.0,1987,92.9,1987,100.0,1037,52.2,772,38.9,265,13.3,950,47.8
1400000US06001420400,06001420400,"Census Tract 4204, Alameda County, California",1185,100.0,1094,92.3,1094,100.0,2,0.2,0,0.0,2,0.2,1092,99.8
1400000US06001420500,06001420500,"Census Tract 4205, Alameda County, California",995,100.0,932,93.7,932,100.0,452,48.5,349,37.4,103,11.1,480,51.5
1400000US06001420600,06001420600,"Census Tract 4206, Alameda County, California",1336,100.0,1283,96.0,1283,100.0,965,75.2,697,54.3,268,20.9,318,24.8
1400000US06001421100,06001421100,"Census Tract 4211, Alameda County, California",886,100.0,842,95.0,842,100.0,765,90.9,521,61.9,244,29.0,77,9.1
1400000US06001421200,06001421200,"Census Tract 4212, Alameda County, California",1547,100.0,1464,94.6,1464,100.0,1320,90.2,909,62.1,411,28.1,144,9.8
1400000US06001421300,06001421300,"Census Tract 4213, Alameda County, California",1750,100.0,1672,95.5,1672,100.0,1367,81.8,950,56.8,417,24.9,305,18.2
1400000US06001421400,06001421400,"Census Tract 4214, Alameda County, California",695,100.0,663,95.4,663,100.0,546,82.4,382,57.6,164,24.7,117,17.6
1400000US06001421500,06001421500,"Census Tract 4215, Alameda County, California",1647,100.0,1555,94.4,1555,100.0,1282,82.4,871,56.0,411,26.4,273,17.6
1400000US06001421600,06001421600,"Census Tract 4216, Alameda County, California",1707,100.0,1589,93.1,1589,100.0,1169,73.6,775,48.8,394,24.8,420,26.4
1400000US06001421700,06001421700,"Census Tract 4217, Alameda County, California",1679,100.0,1574,93.7,1574,100.0,542,34.4,363,23.1,179,11.4,1032,65.6
1400000US06001421800,06001421800,"Census Tract 4218, Alameda County, California",931,100.0,886,95.2,886,100.0,599,67.6,417,47.1,182,20.5,287,32.4
1400000US06001421900,06001421900,"Census Tract 4219, Alameda County, California",1792,100.0,1689,94.3,1689,100.0,1070,63.4,810,48.0,260,15.4,619,36.6
1400000US06001422000,06001422000,"Census Tract 4220, Alameda County, California",729,100.0,667,91.5,667,100.0,267,40.0,192,28.8,75,11.2,400,60.0
1400000US06001422100,06001422100,"Census Tract 4221, Alameda County, California",1255,100.0,1114,88.8,1114,100.0,491,44.1,379,34.0,112,10.1,623,55.9
1400000US06001422200,06001422200,"Census Tract 4222, Alameda County, California",1629,100.0,1527,93.7,1527,100.0,659,43.2,487,31.9,172,11.3,868,56.8
1400000US06001422300,06001422300,"Census Tract 4223, Alameda County, California",1802,100.0,1661,92.2,1661,100.0,595,35.8,434,26.1,161,9.7,1066,64.2
